FID,Lat,Lon,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12
300,22.957856,54.292968,0.1236,0.1746,0.2315,0.2907,0.3158,0.3404,0.3344,0.3612,0.4308,0.3974
301,22.972983,54.240718,0.1577,0.2341,0.3205,0.3396,0.3772,0.4052,0.4308,0.4243,0.4525,0.4012
302,22.976186,54.241387,0.1798,0.2662,0.3741,0.3883,0.4122,0.4375,0.4585,0.4526,0.5122,0.4794
303,22.995453,54.207988,0.2217,0.3165,0.4337,0.4681,0.4674,0.4830,0.4921,0.4928,0.5950,0.5427
304,23.646577,54.425403,0.2430,0.3215,0.3972,0.4053,0.4203,0.4410,0.4627,0.4558,0.5541,0.5201
305,23.654355,54.429079,0.1819,0.2636,0.3542,0.4085,0.4085,0.4239,0.4204,0.4384,0.5794,0.5629
306,23.925362,52.699285,0.2534,0.3382,0.4300,0.4690,0.4664,0.4853,0.4904,0.4966,0.6228,0.5537
307,23.924527,52.695783,0.2705,0.3637,0.4538,0.4861,0.4845,0.4991,0.5112,0.5124,0.6352,0.5741
313,23.714752,52.857325,0.2422,0.3316,0.4216,0.4552,0.4484,0.4671,0.4696,0.4732,0.5941,0.5524
314,23.697233,52.906133,0.1642,0.2210,0.2670,0.3064,0.3608,0.3988,0.3960,0.4175,0.4350,0.3548
315,23.697233,52.906133,0.1642,0.2210,0.2670,0.3064,0.3608,0.3988,0.3960,0.4175,0.4350,0.3548
320,23.715327,52.902668,0.2552,0.3441,0.4282,0.4698,0.4661,0.4790,0.4854,0.4906,0.5924,0.5576
