OBS,SOIL,CLAI,SILT,SAND,SSA,HIGF,OM,OC,CACO3,CEC,CEC,CMG,CNA,CK,CCA,CMGP,CNAP,CK,CCA,1.4-2,1-1.4,0.5-1,0.25-0.5,0.1-0.25,<0.1,Average,H2O,EC,PH pasta,PH extr.,NO3,CL,HCO3,SO4,Na,K,Mg,Ca,SAR,Fed,Feo,Fec,Fes,Feo/Fed,Fed/Fet,MNd,Mno,MNc,Mno/MNd,ALD,Alo,Alc,ALO/Ald,SIO2,Al2O3,Fe2O3,MgO,CaO,Na2O,K2O,TiO2,P2O5,LOI,TOTAL,MN,NI,ZN,CU,CO,MO,CR,CD,PB,RB,SR,Y,ZR,NB,BA,TH,U,Smectite,Lllite,Kaolin,Quartz,Calcite,Dolomite,Other
21,C9,21.9871,29.8693,48.1435,120.7,3.76,3.99,2.04,63.99,20.59,20.59,3.22,0.52,0.65,16.19,15.66,2.53,0.65,16.19,24.1,11,29.7,16.4,11.3,7.4,0.85,56.46,0.867,7.3,7.25,0.14,1.3,5.9,2.45,1.4,0.45,1.59,5.91,0.723,1693.4,418.42,1274.9,5022.3,0.25,0.24,282.22,224.98,57.24,0.8,257.37,323.65,-66.3,1.26,19,3.56,1.92,1.72,36.2,0.13,0.42,0.27,0.21,36.3,99.73,462,38,44,-,10,-,-,-,14,10,289,24,67,13,1718,-,12,-,20,5,10,67,1,-
22,C10,30.2457,18.2735,51.4808,205.4,4.8,5.92,2.94,26.28,33.81,33.81,5.57,0.58,0.87,26.8,16.46,1.7,0.87,26.8,24.4,13.9,32.2,12.5,8.9,8.1,0.89,66.89,0.894,7.2,7.8,0.1091,3.2,4.81,2.82,1.16,0.14,1.79,12.08,0.44,6351.8,985.72,5366.1,10367.3,0.16,0.36,331.68,272.65,59.04,0.82,771.43,996.37,-224.9,1.29,39.8,9.1,4.78,1.75,17.3,0.34,1.32,0.8,0.54,23.8,99.53,539,43,74,-,-,-,88,-,38,58,240,25,292,14,239,22,-,10,-,10,51,26,-,3
23,C12,36.8537,39.4862,23.6601,130.5,3.91,2.43,1.23,61.48,21.89,21.89,2.64,0.52,0.17,18.55,12.08,2.38,0.17,18.55,8.8,9,36.5,23,15.4,7.3,0.65,-,-,-,-,-,-,-,-,-,-,-,-,-,4962.3,528.66,4433.6,2872.6,0.11,0.59,155.4,43.05,112.34,0.28,307.07,663.33,-56.3,2.16,18.6,4.53,2.24,0.79,37.9,0.08,0.31,0.32,3.04,32.4,100.21,154,42,86,-,-,-,187,0.2,10,22,507,32,76,-,125,-,19,25,-,10,5,60,-,-
24,B1,39.3494,21.1962,39.4544,196.8,4.68,4.91,2.34,41.99,35.61,35.61,4.61,0.57,1.07,29.35,12.96,1.6,1.07,29.35,26.2,12.5,29.8,14,10,7.4,0.89,64.27,0.625,7.3,7.4,0.122,0.7,4.8,1.97,0.94,0.21,0.69,4.86,0.564,5253.7,721.43,4532.3,8352.4,0.14,0.37,309.69,213.4,96.29,0.69,652.87,907.65,-254.8,1.39,33.7,7.26,3.89,1.29,24.5,0.15,0.74,0.7,0.16,27.8,100.19,462,28,46,-,-,-,62,0.18,16,32,198,13,251,18,228,-,-,25,-,5,27,42,1,-
25,B2,49.259,18.6587,32.0823,262.9,6.05,3.71,1.34,40.14,44.92,44.92,4.78,0.57,0.35,39.22,10.63,1.26,0.35,39.22,21.3,13.2,33.2,15.3,10.5,6.5,0.85,68.01,0.394,7.5,7.15,0.093,0.4,3,0.8,0.76,0.04,0.45,3.23,0.56,6155.1,784.91,5370.2,8885.1,0.13,0.39,304.89,198.24,106.65,0.65,710.8,877.53,-166.7,1.23,35.8,8.51,4.3,1.5,22.1,0.21,0.71,0.68,0.23,25.9,99.94,462,49,55,-,-,-,92,-,24,48,304,44,236,24,652,-,34,35,-,5,20,40,-,-
26,B3,32.9276,24.4512,42.6212,256.2,7.59,8.71,3.98,19.73,62.05,62.05,4.71,0.68,1.12,55.54,7.59,1.1,1.12,55.54,23.6,13.4,33.7,13.9,8.7,6.4,0.88,69.51,1.241,7.05,8,0.1324,1.5,-,-,1.41,0.24,1.99,14.79,0.487,10792.4,1037.31,9755,8480.1,0.1,0.53,493.84,327.76,166.08,0.66,1007.15,1263,-255.9,1.25,42.5,10.2,5.51,1.48,13.5,0.26,1.03,0.94,0.22,24.4,100.04,770,49,74,11,18,-,112,-,36,60,136,32,352,30,292,29,-,35,-,5,38,20,-,2
27,B4,24.7313,7.8264,67.4423,185,4.07,5.06,2.13,23.93,40.11,40.11,5.6,0.7,0.91,32.89,13.96,1.75,0.91,32.89,17.4,11.7,29,17.4,12.3,11.6,0.74,64.22,0.605,7.3,7.9,0.1114,1,4.74,1.45,1.72,0.14,1.29,6.34,0.881,7778.5,1170.22,6608.3,9150.5,0.15,0.43,412.12,315.23,96.89,0.76,853.43,1465.54,-612.1,1.72,43.1,9.16,4.84,1.79,16.2,0.38,1.14,0.89,0.31,21.8,99.61,616,31,74,-,-,-,97,0.18,-,52,227,39,356,21,269,19,-,25,-,10,40,24,-,1
28,B5,30.3511,4.0186,65.6303,169.7,5.95,5.87,2.43,39.56,40.21,10.21,0.96,0.37,0.7,38.19,2.38,0.91,0.7,38.19,19.7,12.3,28.2,14.9,13.5,11,0.78,60.21,0.819,7.6,7.3,0.119,1.5,5.7,1.86,1.45,0.09,0.88,5.56,0.808,10226,1176.44,9049.5,4639.4,0.12,0.64,355.47,260.08,95.39,0.73,891.91,1643.05,-751.1,1.84,34.3,8.25,4.25,1.37,22.7,0.2,1.01,0.72,0.15,27.2,100.15,462,31,53,-,12,-,66,-,25,36,103,17,282,29,240,29,-,10,2,5,40,40,1,2
29,B6,26.3741,5.2748,68.3511,151.2,5.29,7.98,4.08,31.98,40.5,10.5,1.16,0.38,1.23,37.72,2.87,0.94,1.23,37.72,25.3,13.4,26.3,11.2,10.5,13.2,0.85,66.16,1.05,7,7.5,0.2295,1.5,7.91,1.91,1.72,0.36,2.19,12.44,0.636,9360.8,1300.44,8060.3,5399.7,0.14,0.58,387.47,262.07,125.4,0.68,933.69,1908.63,-974.9,2.04,33.5,8.07,4.22,1.41,21.8,0.23,1.05,0.71,0.17,29.2,100.36,462,32,52,-,12,-,65,-,33,38,129,20,277,35,176,-,-,5,3,10,50,32,-,-
30,B7B,45.919,22.9595,31.1216,306.2,6,3.49,1.41,12.78,51.43,51.43,1.4,0.42,1.07,48.54,2.72,0.81,1.07,48.54,11.4,12.7,38.8,21.5,10.8,4.8,0.74,68.04,1.216,7.35,7.7,0.6586,1.1,2.9,6.55,1.84,0.2,1.89,13.83,0.656,9612.9,1510.57,8102.3,11268.5,0.16,0.43,645.01,357.75,287.26,0.55,1045.61,2450.93,-1405.3,2.34,53,11,5.97,1.59,8.76,0.36,1.09,1.15,0.19,17.1,100.21,847,51,73,14,20,-,129,0.2,39,51,127,46,471,34,333,40,-,40,5,5,31,13,1,5
31,B8,39.6017,25.4582,34.94,260.3,9.51,4.21,1.95,30.95,39.99,39.99,1.2,0.62,0.7,37.47,3,1.54,0.7,37.47,7.3,11.1,40.3,22.8,12.7,5.1,0.67,63.27,1.208,7.3,7.9,0.154,1.8,5.4,7.37,3.6,0.12,1.29,8.01,1.669,7850.8,1193.09,6657.7,9428,0.15,0.43,490.58,334.83,155.75,0.68,679.97,1866.66,-1186.7,2.75,42,8.92,4.94,1.41,17.3,0.24,0.75,0.9,0.22,23.3,99.98,693,46,77,-,15,-,98,0.28,30,39,168,32,330,26,248,-,23,35,-,5,30,31,-,4
32,B9,34.2025,35.6804,30.1172,111,1.25,2.81,1.44,68.34,23.41,23.41,0.63,0.24,0.28,22.26,2.7,1.02,0.28,22.26,7.2,9.5,33.3,24.6,17.4,7.9,0.61,45.39,1.167,7.15,8.05,0.005,1.2,5.1,8.42,3.35,0.12,0.91,9.75,1.451,4043.8,311.7,3732.1,2811.8,0.08,0.56,127.06,41.81,85.25,0.33,442.25,904.64,-462.4,2.05,17.5,3.91,1.96,0.91,39.1,0.05,0.26,0.33,0.46,35.7,100.18,154,23,36,-,-,-,35,0.18,-,27,328,-,95,16,114,-,12,10,2,-,20,68,-,-
33,B10,59.4882,16.6168,23.895,323.7,1.873,2.07,0.73,20.47,49.86,49.86,2.64,0.88,0.6,45.73,5.3,1.76,0.6,45.73,11.9,13.6,39.4,18.5,10.8,5.8,0.75,68.1,0.48,7.69,7.8,0.005,1.4,2.3,1.45,2.68,0.02,0.51,2.3,2.262,9890.4,1216.75,8673.6,10816.2,0.12,0.45,541.93,397.94,143.99,0.73,1299.97,2488.7,-1188.7,1.91,47.6,10.8,5.92,1.59,12.9,0.29,1.02,1.03,0.16,18.8,100.11,693,46,62,-,21,,111,-,-,47,141,36,381,21,297,-,-,40,2,3,24,20,-,1
34,B11,21.0748,21.0748,57.8504,127.8,4.73,4.16,2.29,28.41,24.18,24.18,1.63,0.39,0.81,21.36,6.72,1.61,0.81,21.36,9.6,9.2,25.2,13.9,16.3,24.5,0.55,35.73,0.72,7.65,7.5,0.5509,0.6,4.72,0.36,1.75,0.29,1.69,7.31,0.825,5773.3,553.15,5220.1,7238.3,0.1,0.43,320.48,218.95,101.54,0.68,520,1277.96,-758,2.46,45.4,7.38,3.72,1.56,17.8,0.53,1.21,0.82,0.16,21.8,100.38,462,26,38,-,-,-,71,-,30,29,265,23,432,30,241,34,-,5,-,5,58,28,-,4
35,A1,33.5412,40.3139,26.1449,236.8,6.62,6.65,2.86,0.5,39.45,39.45,5.74,0.47,0.9,32.35,14.54,1.19,0.9,32.35,22.1,15.1,32.7,12.5,8.2,8.8,0.87,67.5,0.712,7.5,7.4,0.002,1.3,5.2,1.1,1.18,0.09,2.49,4.28,0.641,21929.7,3113.77,18815.9,2309.6,0.14,0.8,908.94,914.2,-5.26,1.01,1975.3,2362.13,-386.8,1.2,58.7,12.4,6.93,1.36,2.02,0.42,1.31,1.3,0.12,14.6,99.16,1155,52,83,25,31,,159,0.5,27,86,118,49,643,42,460,49,-,30,2,15,35,1,-,17
36,A2,45.0372,30.0612,24.9016,285,9.17,6.65,2.64,5.86,45.4,45.4,1.78,0.4,0.52,42.71,3.93,0.88,0.52,42.71,18.2,13.4,36.1,16.9,9.5,5.3,0.82,65.98,0.462,7.5,7.65,0.001,1,2.7,0.8,0.88,0.02,3.88,3.23,0.467,18823.9,2017.63,16806.3,5485.3,0.11,0.72,674.67,589.93,84.74,0.87,1740.5,2906.32,-1165.8,1.67,53.4,13.3,6.95,1.2,4.92,0.33,1.27,1.22,0.14,16.8,99.53,924,68,83,12,26,-,149,0.74,17,60,95,34,507,42,405,57,-,35,2,20,30,6,1,6
37,A3,37.6709,26.9078,35.4214,230.9,6.98,13.23,6.43,2.06,45.57,45.57,2.67,0.62,1.43,40.85,5.87,1.36,1.43,40.85,24.3,17.5,35.4,11.8,6.6,4.4,0.95,86.62,0.986,7.15,8.2,0.4542,1.2,9.92,1.27,1.72,0.34,2.29,12.2,0.639,18096.6,2073.55,16023.1,3834.1,0.11,0.75,641.9,522.4,119.5,0.81,1710.5,2733.5,-1023,1.6,51.5,12.2,6.27,1.35,3.37,0.42,1.41,1.19,0.16,21.5,99.37,924,60,84,21,25,-,146,-,32,76,119,43,542,24,445,25,11,35,3,20,35,2,-,5
38,A4,46.0936,18.7831,35.1233,338.2,11.63,5.65,2.7,8.45,60.31,60.31,4.34,0.46,0.51,55,7.19,0.77,0.51,55,13.2,13.5,36.4,17.6,11.5,6.4,0.75,64.84,0.857,7.65,7.9,0.011,2.8,3.5,1.18,2.35,0.05,1.19,5.45,1.29,14793.6,2004.69,12789,7906.6,0.14,0.6,669.23,502.9,166.33,0.75,1377.71,2914.08,-1536.4,2.12,51.4,12.2,6.49,1.24,6.7,0.27,0.99,1.15,0.13,19.1,99.67,924,54,84,16,25,-,148,0.48,15,70,111,37,480,24,351,15,-,40,-,15,35,9,-,1
39,A5,54.2075,15.3606,30.4319,369,8.82,2.52,0.82,8.48,47.26,47.26,9.66,0.72,0.76,36.13,20.44,1.52,0.76,36.13,13.7,14.8,38.9,16.2,9.3,6.3,0.78,68.6,0.583,7.6,7.75,0.425,1.2,1.6,2.21,1.62,0.04,0.89,6.73,0.83,15971,1711.81,14259.2,7463.8,0.11,0.64,761.74,603.62,158.12,0.79,1658.85,3028.13,-1369.3,1.83,54,12.2,6.7,1.71,5.84,0.27,0.99,1.24,0.09,16.1,99.14,1001,57,67,-,24,-,136,0.32,23,60,103,31,490,38,420,-,-,40,2,10,35,9,-,4
40,H1,35.5485,19.8312,44.6203,234.4,5.14,2.78,0.93,8.82,34.13,34.13,8.01,0.6,0.71,24.81,23.47,1.75,0.71,24.81,16.3,11,26.6,16.6,17.8,11.3,0.71,59.64,0.733,7.8,8.2,0.005,2,3.3,2.44,4.1,0.08,0.74,3.12,2.951,4721,881.8,3839.2,10808.9,0.19,0.29,614.04,485.69,128.34,0.79,806.38,1654.11,-847.7,2.05,63.1,8.5,4.44,1.47,6.89,0.41,0.86,1.02,0.15,12.6,99.44,847,27,53,-,-,-,109,0.2,18,62,154,35,476,26,499,33,-,35,-,10,34,9,2,-
41,H2,61.2336,34.7361,4.0303,425.3,10.14,5.34,1.85,18.5,51.39,51.39,31.18,2.17,1.68,16.35,60.68,4.22,1.68,16.35,23.6,13.5,32.3,15.7,10.2,4.1,0.88,100.89,0.67,7.8,8.4,0.1663,1.4,4.35,1.36,5.2,0.15,1.99,3.92,3.025,3876,2077.1,1798.9,19418.8,0.54,0.15,473.95,368.52,105.44,0.78,844.93,2702.24,-1857.3,3.2,41.1,12.3,6.66,2.75,11.2,0.21,1.05,0.85,0.2,23.4,99.72,924,56,121,12,25,-,109,-,19,61,291,31,153,29,443,-,-,55,2,10,4,19,2,8
