FID,103,141,142,143,144,11,12,13,14,15,16,17,18,19,20,116,117,118,119,120,121,122,123,245,246,247,248,249,250,251,252,254,255,256,257,258,259,260,273,274,275,276,278,279,280,282,283,286,287,290,291,292,293,294,295,296,297,298,308,309,310,311,312,313,314,25,159,316,317,318,319,321,322,323,324,325,205,206,207,208,209
364,0.140060298,0.110731685,0.119911889,0.122217442,0.127471455,0.101642953,0.09308412,0.074671804,0.127898706,0.08543487,0.102299596,0.094613931,0.086825208,0.093593957,0.161699415,0.096813774,0.062667386,0.079593705,0.078462233,0.091540803,0.119368269,0.089428897,0.089324775,0.092608806,0.118646149,0.153939739,0.102421894,0.088847074,0.084547133,0.104470888,0.102254963,0.108072203,0.085450446,0.10363401,0.096768589,0.094175932,0.112091815,0.100359031,0.079808243,0.087524079,0.124664084,0.112326364,0.130330399,0.072767738,0.096788732,0.1012528,0.088226861,0.088595091,0.110008087,0.116055247,0.07711363,0.117563266,0.058205064,0.066969008,0.068977402,0.111379822,0.08777381,0.106498166,0.143223986,0.142380408,0.131633712,0.120684655,0.127846535,0.115003523,0.125659061,0.11125227,0.102291054,0.131829034,0.100106144,0.145824208,0.118877648,0.113424641,0.104110802,0.158033688,0.149445122,0.133942419,0.080018176,0.099642303,0.073950268,0.102185472,0.067513997
365,0.141352575,0.11119522,0.122716942,0.119432464,0.129264267,0.103409166,0.094217502,0.07620858,0.125884427,0.083800413,0.104527063,0.095259804,0.087537576,0.093326646,0.161144721,0.100688109,0.067368341,0.082563493,0.082838618,0.096010575,0.12162823,0.093557244,0.092171715,0.089476406,0.115388116,0.150885526,0.099332625,0.087136868,0.077277022,0.099885493,0.098044862,0.108198588,0.086356748,0.102025178,0.096929816,0.094456897,0.111090825,0.09671784,0.077247565,0.091490449,0.130308846,0.117141427,0.137044566,0.072673817,0.101513805,0.10579233,0.093022339,0.080680571,0.10417645,0.110167908,0.06935653,0.110200779,0.053933946,0.062040354,0.063609826,0.110779298,0.083934594,0.109049439,0.14421567,0.14457828,0.132686249,0.119653056,0.125521659,0.118184978,0.124534867,0.113201049,0.107407764,0.13790572,0.106865156,0.151770187,0.12329869,0.118854392,0.108028777,0.162570965,0.153028919,0.138746382,0.086767817,0.103902392,0.080413273,0.105443021,0.075055311
366,0.13962534,0.109249816,0.119618274,0.118452271,0.127159845,0.104185688,0.095745129,0.077723923,0.126904102,0.08479449,0.104985556,0.096109327,0.090283297,0.093154669,0.162240331,0.100226603,0.069744478,0.084188143,0.087017495,0.096758666,0.123735485,0.094059337,0.094268425,0.093290624,0.11551406,0.153348687,0.102774597,0.090590364,0.08062711,0.102587333,0.104362606,0.108733761,0.089429532,0.101843267,0.09892678,0.096191997,0.111968253,0.099222576,0.079585577,0.08817259,0.127807114,0.114757494,0.133263342,0.068095191,0.097238452,0.101625459,0.089507191,0.075977039,0.099323181,0.105486907,0.062794114,0.106364438,0.051694117,0.05651757,0.058236001,0.10979142,0.083754744,0.108643777,0.142120132,0.141490117,0.131126427,0.117634956,0.124054738,0.116254515,0.121245837,0.111446967,0.10387827,0.140299343,0.110364238,0.154559895,0.125015062,0.121607684,0.112090885,0.162788307,0.156378323,0.141484198,0.088730765,0.104340883,0.080274821,0.104634452,0.074078158
367,0.139169459,0.108216601,0.116883228,0.121438606,0.126624384,0.105006116,0.096247641,0.078619941,0.128792547,0.085460141,0.104986316,0.097076406,0.090905673,0.09282267,0.162925966,0.10139314,0.072156591,0.087643351,0.091117466,0.098799889,0.127250436,0.096154934,0.097199683,0.098980805,0.1197666,0.158867282,0.108007183,0.096072843,0.086991913,0.108443888,0.112306182,0.10821882,0.090227361,0.101724003,0.099923907,0.096595795,0.113686549,0.10258462,0.082402066,0.086781982,0.125180961,0.113446714,0.131458687,0.066096595,0.094127738,0.098480476,0.086943684,0.080432437,0.102748807,0.108571216,0.066651454,0.111301916,0.055280392,0.058483483,0.060443317,0.113022913,0.088619658,0.111041246,0.143629537,0.141462859,0.131361709,0.118966617,0.126761908,0.115136206,0.123262824,0.109356153,0.10177171,0.142626793,0.114030771,0.157882436,0.127856416,0.124486748,0.116072128,0.165584235,0.16114978,0.144366301,0.091092916,0.106424459,0.081350495,0.105999962,0.074145567
368,0.137819355,0.106794191,0.116783411,0.123461309,0.12752261,0.102520315,0.090926874,0.075565624,0.123395632,0.079147633,0.101945129,0.093514494,0.08292907,0.088330011,0.155277214,0.106083514,0.075073435,0.091958222,0.092263305,0.102805197,0.128422427,0.101008736,0.098952056,0.096797795,0.121884398,0.157523144,0.106276328,0.096073407,0.083787028,0.107653216,0.108365149,0.102639249,0.083291757,0.097219047,0.095264061,0.091119201,0.111356276,0.098107667,0.077954477,0.090907049,0.125292468,0.115600613,0.137369785,0.068349787,0.09756675,0.101189214,0.08955388,0.091223927,0.112425486,0.11625174,0.080195831,0.11975806,0.062343427,0.068976264,0.070044064,0.117998685,0.093166524,0.115955326,0.147973269,0.145537808,0.132026668,0.121574172,0.129212898,0.116311529,0.130127187,0.106281901,0.107441741,0.144522731,0.118202331,0.160215952,0.131291496,0.126818013,0.117002789,0.171165525,0.163378745,0.145481998,0.095932372,0.110954349,0.088243083,0.110426581,0.081831328
369,0.13796627,0.10629447,0.11867877,0.121392916,0.125422929,0.097755667,0.08796127,0.071781243,0.121366355,0.075089391,0.098576556,0.087396763,0.079882276,0.086140311,0.153844406,0.105370279,0.07408176,0.090417474,0.088150717,0.098441926,0.12605926,0.099104499,0.098395205,0.101006397,0.123658103,0.159764678,0.111071481,0.09913615,0.088222739,0.110749333,0.112686155,0.106013842,0.085702037,0.099880473,0.099402528,0.095258656,0.111819937,0.099183216,0.078100423,0.082861434,0.120207285,0.109612025,0.129147137,0.06281153,0.091552394,0.096608393,0.082982081,0.091889771,0.111225616,0.114299356,0.079015652,0.117400567,0.059443158,0.068327977,0.067816178,0.11368963,0.089436102,0.11127721,0.14949157,0.145181381,0.133532722,0.123266552,0.127817139,0.118034155,0.129963699,0.105190251,0.11104242,0.145647096,0.118720641,0.160196064,0.132006116,0.126641842,0.118230928,0.171456868,0.165447806,0.146545074,0.088574367,0.102909683,0.080885876,0.101716887,0.073415977
370,0.140116703,0.109632783,0.122828817,0.123775424,0.128367921,0.097216929,0.089563341,0.072881892,0.123503254,0.07787115,0.100079322,0.088685212,0.082907134,0.088548707,0.159008425,0.104543139,0.073814213,0.088700272,0.086280127,0.097168505,0.12592811,0.099161479,0.099179443,0.102157036,0.125937388,0.163581826,0.116759162,0.101323032,0.093024367,0.114999153,0.116832989,0.112125527,0.091358914,0.10494274,0.105248636,0.099365265,0.115908143,0.102906331,0.080587608,0.082231659,0.123307244,0.109935386,0.129474727,0.063493969,0.091523496,0.098074546,0.082281768,0.092719965,0.111505397,0.114913437,0.076813379,0.117843164,0.059577614,0.068711036,0.067831168,0.109711859,0.085197463,0.105565408,0.151964754,0.145568616,0.137050582,0.126102096,0.129157563,0.121108567,0.130465176,0.10689303,0.111354533,0.147191207,0.118330052,0.162194732,0.133091779,0.127400643,0.120193196,0.171894378,0.165703273,0.149966593,0.086338546,0.101814976,0.079054774,0.100922096,0.070798827
371,0.139195565,0.112103678,0.123479033,0.127250909,0.132406869,0.099966332,0.092621057,0.07727198,0.124957785,0.084091883,0.10366945,0.09582573,0.087690154,0.09222256,0.162964514,0.102717532,0.072910372,0.086386708,0.085912819,0.098968724,0.125216658,0.099938356,0.098220076,0.094590584,0.124424688,0.16163264,0.115602024,0.097687091,0.090848495,0.113844374,0.112890732,0.112180289,0.091516788,0.104318566,0.104041696,0.095203196,0.117487819,0.102293601,0.081202133,0.09113898,0.132017129,0.115942143,0.139408786,0.070935109,0.09850787,0.104831927,0.088775776,0.094463884,0.113928359,0.117820496,0.077354451,0.121464169,0.064495675,0.071939156,0.07201937,0.108299315,0.082706598,0.101777315,0.151197174,0.14446072,0.137528139,0.125623027,0.130562031,0.120633282,0.13034645,0.107826788,0.106327801,0.144886049,0.114726714,0.161838876,0.131272217,0.126042051,0.118536469,0.169380602,0.159225206,0.150147436,0.091375319,0.109527274,0.086252456,0.110253357,0.078653169
372,0.139639838,0.109079578,0.119050562,0.121442707,0.126857189,0.105994009,0.098684526,0.080956337,0.129808295,0.087622624,0.106256935,0.098320675,0.093797175,0.097099234,0.16683445,0.101108225,0.06693433,0.083464532,0.081916339,0.093616834,0.121893489,0.092680572,0.092311909,0.096923789,0.122775668,0.160218212,0.112362332,0.096464019,0.087912057,0.109437955,0.112379989,0.107765675,0.084937169,0.097368986,0.098083878,0.09140519,0.112837485,0.097122818,0.085028265,0.086891276,0.128833038,0.111360374,0.132883335,0.066374208,0.096452142,0.100502926,0.087168339,0.090370068,0.110147324,0.112327001,0.07358806,0.117639092,0.060560826,0.066411276,0.065299134,0.112865459,0.085789471,0.10748425,0.148090458,0.145881067,0.137120107,0.121702239,0.129471913,0.116863109,0.128396996,0.11221383,0.108642903,0.145141485,0.112283077,0.160444719,0.129417908,0.124765192,0.11667484,0.168251375,0.159443957,0.146300082,0.085079395,0.104794045,0.081996235,0.106303803,0.073857683
373,0.136524958,0.106015759,0.117121964,0.117900528,0.123568963,0.105766751,0.097122757,0.078862587,0.12777737,0.085080361,0.103748594,0.095934471,0.092263307,0.0954778,0.163945243,0.099678955,0.066636574,0.081695018,0.079680421,0.09029415,0.120671475,0.089672397,0.090444446,0.095814172,0.117259006,0.154670378,0.105523382,0.093006594,0.08325339,0.103555161,0.107049957,0.10358448,0.079767055,0.092693151,0.092172073,0.089280167,0.107259003,0.092387033,0.085701666,0.081968287,0.123216956,0.106763871,0.126779999,0.061944138,0.093190608,0.09524103,0.083065481,0.087035725,0.107441572,0.11125984,0.072168418,0.115540369,0.057762708,0.065294704,0.061845627,0.115401492,0.087807149,0.110786249,0.143275212,0.142517844,0.132931557,0.116723411,0.124995766,0.112413167,0.123352421,0.112068169,0.108848766,0.143243046,0.112852876,0.15941732,0.128001188,0.124702195,0.115945111,0.166424361,0.159132137,0.144771316,0.085890976,0.103390289,0.08048827,0.104795417,0.074227112
